Age Group,Birth Date,Code,Countries,Country,Country Code,Disciplines,Events,Function,Gender,Name,Age,Number of Female Athletes,Number of Male Athletes
31-35,21-Oct-91,1532872,Armenia,Armenia,ARM,Wrestling,Men's Greco-Roman 97kg,Athlete,Male,ALEKSANYAN Artur,33,0,1
25-30,22-Jan-99,1532873,Armenia,Armenia,ARM,Wrestling,Men's Greco-Roman 77kg,Athlete,Male,AMOYAN Malkhas,25,0,1
25-30,21-Dec-96,1532874,Armenia,Armenia,ARM,Wrestling,Men's Greco-Roman 67kg,Athlete,Male,GALSTYAN Slavik,28,0,1
25-30,22-Nov-99,1532944,Armenia,Armenia,ARM,Wrestling,Men's Freestyle 57kg,Athlete,Male,HARUTYUNYAN Arsen,25,0,1
25-30,27-Oct-99,1532945,Armenia,Armenia,ARM,Wrestling,Men's Freestyle 65kg,Athlete,Male,TEVANYAN Vazgen,25,0,1
31-35,17-Sep-93,1532951,Colombia,Colombia,COL,Athletics,"Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed",Athlete,Female,ARENAS Lorena,31,1,0
31-35,17-Jul-89,1533112,Jamaica,Jamaica,JAM,Judo,Men -60 kg,Athlete,Male,McKENZIE Ashley,35,0,1
25-30,03-May-95,1533136,Gambia,Gambia,GAM,Athletics,"Women's 100m"", ""Women's 200m",Athlete,Female,BASS BITTAYE Gina Mariam,29,1,0
25-30,18-Sep-96,1533176,Gambia,Gambia,GAM,Athletics,Men's 100m,Athlete,Male,CAMARA Ebrahima,28,0,1
25-30,07-Mar-94,1533188,Mexico,Mexico,MEX,Triathlon,Women's Individual,Athlete,Female,RUEDA SANTOS Lizeth,30,1,0
25-30,27-Aug-97,1533189,Mexico,Mexico,MEX,Triathlon,Women's Individual,Athlete,Female,TAPIA VIDAL Rosa Maria,27,1,0
36-40,06-May-87,1533190,Mexico,Mexico,MEX,Triathlon,Men's Individual,Athlete,Male,GRAJALES Crisanto,37,0,1
25-30,13-Feb-97,1533208,Comoros,Comoros,COM,Athletics,Men's 100m,Athlete,Male,MAAROUFOU Hachim,27,0,1
< 18,16-Jan-07,1533209,Comoros,Comoros,COM,Swimming,Women's 50m Freestyle,Athlete,Female,SAADI Maesha,17,1,0
31-35,22-Aug-90,1533230,Mexico,Mexico,MEX,Artistic Swimming,"Team', 'Duet",Athlete,Female,DIOSDADO Nuria,34,1,0
31-35,19-Aug-93,1533231,Mexico,Mexico,MEX,Artistic Swimming,"Team', 'Duet",Athlete,Female,JIMENEZ Joana,31,1,0
25-30,26-May-94,1533232,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,SOBRINO Jessica,30,1,0
25-30,01-Dec-97,1533234,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,ALFEREZ Regina,27,1,0
18-24,28-Feb-02,1533235,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,ARELLANO Fernanda,22,1,0
18-24,13-Jan-00,1533237,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,TOSCANO Pamela,24,1,0
18-24,14-Nov-03,1533239,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,GONZALEZ Itzamary,21,1,0
25-30,05-Dec-94,1533240,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,RODRIGUEZ Samanta,30,1,0
18-24,12-Mar-00,1533243,Mexico,Mexico,MEX,Artistic Swimming,Team,Alternate Athlete,Female,INZUNZA Glenda,24,1,0
25-30,08-Mar-96,1533245,Iraq,Iraq,IRQ,Judo,Men -81 kg,Athlete,Male,SEHEN Sajjad,28,0,1
18-24,02-Aug-04,1533359,Iraq,Iraq,IRQ,Weightlifting,Men's +102kg,Athlete,Male,RUBAIAWI Ali Ammar Yusur,20,0,1
25-30,01-Jan-97,1533364,Djibouti,Djibouti,DJI,Athletics,Men's 5000m,Athlete,Male,ISMAIL Mohamed,27,0,1
25-30,01-Jan-97,1533371,Djibouti,Djibouti,DJI,Athletics,Men's Marathon,Athlete,Male,HASSAN Ibrahim,27,0,1
25-30,03-Jul-96,1533372,Djibouti,Djibouti,DJI,Athletics,Men's 5000m,Athlete,Male,WAISS Abdi,28,0,1
25-30,05-Dec-99,1533374,Djibouti,Djibouti,DJI,Athletics,Women's 5000m,Athlete,Female,HASSAN NOUR Samiyah,25,1,0
18-24,04-Apr-04,1533378,Djibouti,Djibouti,DJI,Swimming,Men's 50m Freestyle,Athlete,Male,HOUSSEIN BARKAT Houmed,20,0,1
25-30,29-Nov-97,1535180,Comoros,Comoros,COM,Canoe Slalom,"Men's Kayak Single"", ""Men's Kayak Cross",Athlete,Male,BARAT Andy,27,0,1
18-24,17-Mar-01,1535186,Mexico,Mexico,MEX,Boxing,Men's 63.5kg,Athlete,Male,MARTINEZ RAMIREZ Miguel Angel,23,0,1
18-24,11-Feb-02,1535187,Mexico,Mexico,MEX,Boxing,Men's 71kg,Athlete,Male,VERDE ALVAREZ Marco Alonso,22,0,1
25-30,02-Jan-99,1535191,Mexico,Mexico,MEX,Athletics,"Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed",Athlete,Female,GONZALEZ Alegna,25,1,0
25-30,02-Aug-97,1535195,Mexico,Mexico,MEX,Athletics,Men's 800m,Athlete,Male,LOPEZ Jesus Tonatiu,27,0,1
18-24,05-Oct-00,1535199,Mexico,Mexico,MEX,Athletics,Men's High Jump,Athlete,Male,PORTILLO Erick,24,0,1
25-30,08-Sep-95,1535201,Mexico,Mexico,MEX,Athletics,Men's Shot Put,Athlete,Male,MUNOZ Uziel,29,0,1
25-30,06-Mar-94,1535202,Mexico,Mexico,MEX,Athletics,Men's Hammer Throw,Athlete,Male,del REAL Diego,30,0,1
25-30,14-Jun-96,1535203,Mexico,Mexico,MEX,Athletics,Men's 20km Race Walk,Athlete,Male,DOCTOR Jose Luis,28,0,1
25-30,25-Feb-97,1535212,Mexico,Mexico,MEX,Athletics,Women's 400m,Athlete,Female,MORAN Paola,27,1,0
31-35,05-Oct-91,1535214,Mexico,Mexico,MEX,Athletics,Women's 5000m,Athlete,Female,GALVAN Laura,33,1,0
25-30,26-Dec-97,1535216,Mexico,Mexico,MEX,Athletics,Women's 5000m,Athlete,Female,CORTES Alma Delia,27,1,0
25-30,15-Apr-95,1535217,Mexico,Mexico,MEX,Athletics,Women's Marathon,Athlete,Female,CRISTIAN MOSCOTE Citlali,29,1,0
31-35,18-Mar-92,1535222,Mexico,Mexico,MEX,Athletics,Marathon Race Walk Relay Mixed,Athlete,Male,PALMA OLIVARES Ever Jair,32,0,1
31-35,18-Apr-93,1535225,Mexico,Mexico,MEX,Sailing,Women's Dinghy,Athlete,Female,OETLING RAMIREZ Elena,31,1,0
25-30,12-Mar-99,1535226,Mexico,Mexico,MEX,Sailing,Women's Windsurfing,Athlete,Female,AGUILAR CHAVEZ PEON Mariana,25,1,0
25-30,26-Jun-94,1535252,Mexico,Mexico,MEX,Rowing,Women's Single Sculls,Athlete,Female,LECHUGA ALANIS Kenia,30,1,0
25-30,01-May-97,1535260,Mexico,Mexico,MEX,Rowing,Lightweight Men's Double Sculls,Athlete,Male,LOPEZ GARCIA Alexis,27,0,1
31-35,08-Jul-92,1535267,Mexico,Mexico,MEX,Rowing,Lightweight Men's Double Sculls,Athlete,Male,CARBALLO NIETO Miguel,32,0,1
18-24,18-Nov-01,1535310,Colombia,Colombia,COL,Artistic Gymnastics,"Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault",Athlete,Female,BLANCO Luisa,23,1,0
18-24,30-Apr-02,1535343,Mexico,Mexico,MEX,Diving,"Men's 10m Platform"", ""Men's Synchronised 10m Platform",Athlete,Male,WILLARS VALDEZ Randal,22,0,1
18-24,25-Apr-01,1535345,Mexico,Mexico,MEX,Diving,"Men's 10m Platform"", ""Men's Synchronised 10m Platform",Athlete,Male,BERLIN REYES Kevin,23,0,1
25-30,19-Apr-97,1535346,Mexico,Mexico,MEX,Diving,"Women's 10m Platform"", ""Women's Synchronised 10m Platform",Athlete,Female,OROZCO LOZA Alejandra,27,1,0
18-24,04-Aug-00,1535348,Mexico,Mexico,MEX,Diving,"Women's 10m Platform"", ""Women's Synchronised 10m Platform",Athlete,Female,AGUNDEZ GARCIA Gabriela,24,1,0
18-24,05-Jun-04,1535349,Mexico,Mexico,MEX,Diving,"Men's 3m Springboard"", ""Men's Synchronised 3m Springboard",Athlete,Male,OLVERA IBARRA Osmar,20,0,1
25-30,23-Jul-96,1535350,Mexico,Mexico,MEX,Equestrian,"Jumping Individual', 'Jumping Team",Athlete,Male,GARZA PEREZ Eugenio,28,0,1
> 45,28-Mar-68,1535351,Mexico,Mexico,MEX,Equestrian,"Jumping Individual', 'Jumping Team",Athlete,Male,FERNANDEZ Federico,56,0,1
25-30,09-Aug-94,1535354,Mexico,Mexico,MEX,Swimming,"Men's 100m Breaststroke"", ""Men's 200m Breaststroke",Athlete,Male,de LARA OJEDA Miguel Alejandro,30,0,1
25-30,08-Aug-94,1535356,Mexico,Mexico,MEX,Artistic Gymnastics,"Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault",Athlete,Female,MORENO Alexa,30,1,0
25-30,05-Oct-96,1535357,Mexico,Mexico,MEX,Artistic Gymnastics,"Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault",Athlete,Female,SANDOVAL Ahtziri,28,1,0
18-24,20-Dec-04,1535358,Mexico,Mexico,MEX,Rhythmic Gymnastics,Group All-Around,Athlete,Female,FLORES Sofia,20,1,0
18-24,24-Apr-04,1535359,Mexico,Mexico,MEX,Rhythmic Gymnastics,Group All-Around,Athlete,Female,SALAZAR Kimberly,20,1,0
18-24,21-Jun-02,1535360,Mexico,Mexico,MEX,Rhythmic Gymnastics,Group All-Around,Athlete,Female,TEJEDA Adirem,22,1,0
18-24,02-Jan-04,1535361,Mexico,Mexico,MEX,Rhythmic Gymnastics,Group All-Around,Athlete,Female,ALCOCER Dalia,20,1,0
< 18,13-Sep-07,1535362,Mexico,Mexico,MEX,Rhythmic Gymnastics,Group All-Around,Athlete,Female,GUTIERREZ Julia,17,1,0
25-30,27-Jan-98,1535363,Mexico,Mexico,MEX,Modern Pentathlon,Men's Individual,Athlete,Male,HERNANDEZ Emiliano,26,0,1
25-30,24-Mar-97,1535364,Mexico,Mexico,MEX,Modern Pentathlon,Men's Individual,Athlete,Male,CARRILLO Duilio,27,0,1
31-35,11-Jul-93,1535365,Mexico,Mexico,MEX,Modern Pentathlon,Women's Individual,Athlete,Female,OLIVER Mayan,31,1,0
25-30,25-Jun-97,1535366,Mexico,Mexico,MEX,Taekwondo,Men +80kg,Athlete,Male,SANSORES Carlos,27,0,1
25-30,27-Aug-99,1535367,Mexico,Mexico,MEX,Taekwondo,Women -49kg,Athlete,Female,SOUZA Daniela Paola,25,1,0
18-24,19-Jun-02,1535368,Mexico,Mexico,MEX,Surfing,Men,Athlete,Male,CLELAND QUINONEZ Alan,22,0,1
25-30,09-Jun-98,1535373,UA Emirates,UA Emirates,UAE,Judo,Men -90 kg,Athlete,Male,GRIGORIAN Aram,26,0,1
25-30,28-Apr-99,1535374,UA Emirates,UA Emirates,UAE,Judo,Men -100 kg,Athlete,Male,KOSTOEV Dzhafar,25,0,1
18-24,10-Apr-01,1535375,UA Emirates,UA Emirates,UAE,Judo,Men +100 kg,Athlete,Male,MAGOMEDOMAROV Magomedomar,23,0,1
31-35,20-Mar-90,1535376,UA Emirates,UA Emirates,UAE,Judo,Men -81 kg,Athlete,Male,TATALASHVILI Nugzari,34,0,1
25-30,29-May-98,1535383,UA Emirates,UA Emirates,UAE,Judo,Women -52 kg,Athlete,Female,BISHRELT Khorloodoi,26,1,0
25-30,28-Mar-98,1535385,Djibouti,Djibouti,DJI,Judo,Men -73 kg,Athlete,Male,HOUSSEIN Alexandre,26,0,1
18-24,23-Sep-01,1535395,UA Emirates,UA Emirates,UAE,Cycling Road,Women's Road Race,Athlete,Female,AL SAYEGH Safia,23,1,0
25-30,17-Oct-94,1535420,Mexico,Mexico,MEX,Archery,"Women's Individual"", ""Women's Team"", 'Mixed Team",Athlete,Female,VALENCIA Alejandra,30,1,0
18-24,28-Jul-06,1535429,Mexico,Mexico,MEX,Archery,"Women's Individual"", ""Women's Team",Athlete,Female,RUIZ Angela,18,1,0
18-24,26-Apr-04,1535430,Mexico,Mexico,MEX,Archery,"Men's Individual"", ""Men's Team"", 'Mixed Team",Athlete,Male,GRANDE Matias,20,0,1
31-35,11-Mar-92,1535433,Mexico,Mexico,MEX,Cycling Road,Women's Road Race,Athlete,Female,PRIETO Marcela,32,1,0
18-24,10-Jul-00,1535438,Mexico,Mexico,MEX,Shooting,"10m Air Rifle Men', '10m Air Rifle Mixed Team",Athlete,Male,RAMIREZ RAMOS Edson Ismael,24,0,1
25-30,12-Dec-96,1535439,Mexico,Mexico,MEX,Shooting,Skeet Women,Athlete,Female,RODRIGUEZ Gabriela,28,1,0
36-40,16-Jun-84,1535440,Mexico,Mexico,MEX,Shooting,"10m Air Pistol Women', '25m Pistol Women",Athlete,Female,ZAVALA VAZQUEZ Alejandra,40,1,0
25-30,21-Oct-99,1535441,Mexico,Mexico,MEX,Shooting,"10m Air Rifle Men', '50m Rifle 3 Positions Men",Athlete,Male,QUEZADA MARQUEZ Carlos,25,0,1
25-30,11-Mar-99,1535442,Mexico,Mexico,MEX,Triathlon,Men's Individual,Athlete,Male,PENAFLOR MOYSEN Aram Michell,25,0,1
25-30,23-Oct-96,1535444,Mexico,Mexico,MEX,Canoe Slalom,"Women's Kayak Single"", ""Women's Kayak Cross",Athlete,Female,REINOSO Sofia,28,1,0
25-30,10-Feb-99,1535448,Mexico,Mexico,MEX,Canoe Sprint,"Women's Kayak Single 500m"", ""Women's Kayak Double 500m",Athlete,Female,BRIONES FRAGOZA Beatriz,25,1,0
31-35,09-Dec-93,1535449,Mexico,Mexico,MEX,Canoe Sprint,"Women's Kayak Single 500m"", ""Women's Kayak Double 500m",Athlete,Female,ALANIS MORALES Karina,31,1,0
18-24,03-Jan-03,1535505,Colombia,Colombia,COL,Athletics,Women's Long Jump,Athlete,Female,LINARES Natalia,21,1,0
18-24,30-Jun-04,1535506,Colombia,Colombia,COL,Athletics,Men's 100m,Athlete,Male,LONGA Ronal,20,0,1
31-35,29-Jan-91,1535511,Colombia,Colombia,COL,Athletics,Women's Javelin Throw,Athlete,Female,RUIZ HURTADO Flor Denis,33,1,0
31-35,09-May-89,1535512,Colombia,Colombia,COL,Athletics,Women's Marathon,Athlete,Female,ORJUELA Angie,35,1,0
18-24,22-Dec-00,1535513,Colombia,Colombia,COL,Wrestling,Women's Freestyle 76kg,Athlete,Female,RENTERIA RENTERIA Tatiana,24,1,0
18-24,14-Jul-00,1535514,Colombia,Colombia,COL,Boxing,Women's 60kg,Athlete,Female,VALDES PANA Angie Paola,24,1,0
18-24,13-Apr-02,1535522,Colombia,Colombia,COL,Boxing,Women's 57kg,Athlete,Female,ARBOLEDA MENDOZA Valeria,22,1,0
25-30,19-Sep-94,1535524,Colombia,Colombia,COL,Sailing,Men's Kite,Athlete,Male,BOLANOS LOPEZ Victor,30,0,1
18-24,25-Dec-02,1535609,IR Iran,IR Iran,IRI,Swimming,Men's 100m Freestyle,Athlete,Male,ABDOLI Samyar,22,0,1
25-30,08-Aug-97,1535660,Malawi,Malawi,MAW,Athletics,Women's 100m,Athlete,Female,SIMWAKA Asimenye,27,1,0
18-24,28-Mar-03,1535693,UA Emirates,UA Emirates,UAE,Equestrian,"Jumping Individual', 'Jumping Team",Athlete,Male,AL MARZOOQI Omar Abdul Aziz,21,0,1
18-24,22-Nov-00,1535729,Argentina,Argentina,ARG,Modern Pentathlon,Men's Individual,Athlete,Male,SERRANO Franco,24,0,1
18-24,19-Aug-04,1535766,Iraq,Iraq,IRQ,Football,Men,Athlete,Male,KUMEL SAADI,20,0,1
18-24,27-Jul-04,1535776,Iraq,Iraq,IRQ,Football,Men,Athlete,Male,JOSEF AL IMAM,20,0,1
18-24,06-Oct-01,1535804,Iraq,Iraq,IRQ,Football,Men,Athlete,Male,MUNTADHER ABDULAMEER,23,0,1
18-24,05-Jun-01,1535805,Iraq,Iraq,IRQ,Football,Men,Athlete,Male,MUNTADHER MOHAMMED,23,0,1
18-24,12-Sep-06,1535852,Singapore,Singapore,SGP,Sailing,Men's Kite,Athlete,Male,MAEDER Maximilian,18,0,1
25-30,26-Feb-97,1535853,Singapore,Singapore,SGP,Sailing,Men's Dinghy,Athlete,Male,LO Ryan,27,0,1
18-24,03-Mar-03,1535854,Singapore,Singapore,SGP,Swimming,"Women's 100m Breaststroke"", ""Women's 200m Breaststroke"", ""Women's 4 x 100m Medley Relay",Athlete,Female,SIM En Yi Letitia,21,1,0
18-24,11-Mar-02,1535856,Singapore,Singapore,SGP,Swimming,"Men's 100m Freestyle"", ""Men's 50m Freestyle",Athlete,Male,TAN Jonathan Eu Jin,22,0,1
25-30,20-Sep-96,1535858,Singapore,Singapore,SGP,Athletics,"Women's 100m"", ""Women's 200m",Athlete,Female,PEREIRA Veronica Shanti,28,1,0
18-24,29-Jan-01,1535910,Iraq,Iraq,IRQ,Football,Men,Athlete,Male,ZAID TAHSEEN,23,0,1
18-24,28-Apr-02,1535913,Iraq,Iraq,IRQ,Football,Men,Athlete,Male,HUSSEIN AMER,22,0,1
18-24,28-May-05,1535914,Malaysia,Malaysia,MAS,Diving,Men's 10m Platform,Athlete,Male,ANAK LISES Bertrand Rhodict,19,0,1
18-24,20-Jan-01,1535916,Iraq,Iraq,IRQ,Football,Men,Athlete,Male,HUSSEIN LAWEND,23,0,1
31-35,23-Aug-92,1535918,Malaysia,Malaysia,MAS,Shooting,10m Air Pistol Men,Athlete,Male,WONG Guanjie Johnathan,32,0,1
25-30,04-Oct-97,1535925,Malaysia,Malaysia,MAS,Cycling Road,Women's Road Race,Athlete,Female,MOHAMAD ZUBIR Nur Aisyah,27,1,0
25-30,02-Feb-98,1535926,Malaysia,Malaysia,MAS,Sailing,Women's Dinghy,Athlete,Female,MOHAMAD LATIF Nur Shazrin,26,1,0
18-24,20-Jan-04,1535927,Iraq,Iraq,IRQ,Football,Men,Athlete,Male,ALI JASIM,20,0,1
18-24,22-Mar-01,1535928,Iraq,Iraq,IRQ,Football,Men,Athlete,Male,KARRAR SAAD,23,0,1
18-24,06-Jan-01,1535929,Iraq,Iraq,IRQ,Football,Men,Athlete,Male,KARRAR MOHAMMED,23,0,1
18-24,14-Jan-01,1535930,Iraq,Iraq,IRQ,Football,Men,Athlete,Male,NIHAD MOHAMMED,23,0,1
18-24,23-Feb-02,1535959,Mauritania,Mauritania,MTN,Swimming,Men's 50m Freestyle,Athlete,Male,DOUA Camil,22,0,1
31-35,18-Apr-92,1535993,Singapore,Singapore,SGP,Equestrian,Dressage Individual,Athlete,Female,CHEW Caroline,32,1,0
36-40,03-Dec-85,1536032,Mexico,Mexico,MEX,Athletics,Women's Marathon,Athlete,Female,HERNANDEZ FLORES Margarita,39,1,0
18-24,16-Dec-03,1536045,IR Iran,IR Iran,IRI,Taekwondo,Men +80kg,Athlete,Male,SALIMI Arian,21,0,1
18-24,26-Jul-00,1536058,IR Iran,IR Iran,IRI,Taekwondo,Men -80kg,Athlete,Male,BARKHORDARI Mehran,24,0,1
18-24,17-May-05,1536064,IR Iran,IR Iran,IRI,Taekwondo,Women -49kg,Athlete,Female,NEMATZADEH Mobina,19,1,0
25-30,01-Aug-98,1536067,IR Iran,IR Iran,IRI,Taekwondo,Women -57kg,Athlete,Female,KIYANICHANDEH Nahid,26,1,0
18-24,29-May-02,1536157,Gabon,Gabon,GAB,Swimming,Men's 50m Freestyle,Athlete,Male,MPALI Adam,22,0,1
18-24,10-Oct-03,1536175,Djibouti,Djibouti,DJI,Swimming,Women's 50m Freestyle,Athlete,Female,AMISON Naima-Zahra,21,1,0
18-24,10-Jan-06,1536184,Mexico,Mexico,MEX,Marathon Swimming,Men's 10km,Athlete,Male,STREHLKE DELGADO Paulo,18,0,1
25-30,14-Aug-98,1536190,Mexico,Mexico,MEX,Marathon Swimming,Women's 10km,Athlete,Female,SANDOVAL AYALA Martha,26,1,0
18-24,20-May-05,1536196,Mexico,Mexico,MEX,Diving,Women's 3m Springboard,Athlete,Female,ESTUDILLO TORRES Alejandra,19,1,0
25-30,01-Sep-98,1536197,Mexico,Mexico,MEX,Diving,Men's Synchronised 3m Springboard,Athlete,Male,CELAYA HERNANDEZ Juan Manuel,26,0,1
18-24,21-Aug-02,1536198,Mexico,Mexico,MEX,Diving,Women's 3m Springboard,Athlete,Female,VAZQUEZ MONTANO Aranza,22,1,0
25-30,29-Apr-94,1536207,IR Iran,IR Iran,IRI,Sport Climbing,Men's Speed,Athlete,Male,ALIPOUR SHENAZANDIFARD Reza,30,0,1
31-35,24-Dec-92,1536214,IR Iran,IR Iran,IRI,Table Tennis,Men's Singles,Athlete,Male,ALAMIAN Nima,32,0,1
31-35,21-Nov-91,1536215,IR Iran,IR Iran,IRI,Table Tennis,Men's Singles,Athlete,Male,ALAMIYAN Noshad,33,0,1
25-30,01-Jan-98,1536233,Iraq,Iraq,IRQ,Athletics,Men's 100m,Athlete,Male,YASEEN Taha Hussein,26,0,1
25-30,09-Sep-98,1536251,India,India,IND,Judo,Women +78 kg,Athlete,Female,MAAN Tulika,26,1,0
31-35,27-Feb-91,1536341,Mexico,Mexico,MEX,Golf,Men's Individual Stroke Play,Athlete,Male,ANCER Abraham,33,0,1
25-30,21-Jul-96,1536368,India,India,IND,Golf,Men's Individual Stroke Play,Athlete,Male,SHARMA Shubhankar,28,0,1
36-40,27-Apr-88,1536371,India,India,IND,Golf,Men's Individual Stroke Play,Athlete,Male,BHULLAR Gaganjeet,36,0,1
18-24,20-Jan-05,1536372,Ethiopia,Ethiopia,ETH,Athletics,Men's 1500m,Athlete,Male,GIRMA Ermias,19,0,1
18-24,14-Jan-00,1536460,Mexico,Mexico,MEX,Archery,"Men's Individual"", ""Men's Team",Athlete,Male,ROJAS Carlos,24,0,1
25-30,08-Mar-98,1536467,Mexico,Mexico,MEX,Archery,"Men's Individual"", ""Men's Team",Athlete,Male,MARTINEZ WING Bruno,26,0,1
18-24,05-Oct-00,1536479,Mexico,Mexico,MEX,Archery,"Women's Individual"", ""Women's Team",Athlete,Female,VAZQUEZ Ana,24,1,0
31-35,13-Feb-91,1536494,Mexico,Mexico,MEX,Athletics,Men's High Jump,Athlete,Male,RIVERA Edgar,33,0,1
25-30,04-Mar-97,1536495,Mexico,Mexico,MEX,Athletics,"Women's 100m"", ""Women's 200m",Athlete,Female,TAMAYO-GARZA Cecilia,27,1,0
25-30,09-Jul-97,1536496,Ethiopia,Ethiopia,ETH,Athletics,Women's 800m,Athlete,Female,ALEMU Habitam,27,1,0
18-24,11-Jun-01,1536497,Ethiopia,Ethiopia,ETH,Athletics,Women's 800m,Athlete,Female,MESELE Worknesh,23,1,0
18-24,23-Feb-01,1536498,Ethiopia,Ethiopia,ETH,Athletics,Women's 800m,Athlete,Female,DUGUMA Tsige,23,1,0
25-30,29-Mar-98,1536522,India,India,IND,Golf,Women's Individual Stroke Play,Athlete,Female,ASHOK Aditi,26,1,0
18-24,14-Dec-00,1536523,India,India,IND,Golf,Women's Individual Stroke Play,Athlete,Female,DAGAR Diksha,24,1,0
18-24,24-Apr-05,1536568,Ethiopia,Ethiopia,ETH,Athletics,Men's 1500m,Athlete,Male,FAYISA Abdisa,19,0,1
31-35,24-Mar-93,1536585,Mexico,Mexico,MEX,Athletics,Women's 20km Race Walk,Athlete,Female,GUERRERO Ilse,31,1,0
25-30,15-Sep-97,1536599,Mexico,Mexico,MEX,Athletics,Men's 20km Race Walk,Athlete,Male,CHAMA Noel,27,0,1
25-30,07-Feb-95,1536600,Mexico,Mexico,MEX,Athletics,Men's 20km Race Walk,Athlete,Male,ORTIZ Ricardo,29,0,1
36-40,21-Sep-86,1536624,IR Iran,IR Iran,IRI,Table Tennis,Women's Singles,Athlete,Female,SHAHSAVARI Neda,38,1,0
25-30,13-Aug-99,1536632,IR Iran,IR Iran,IRI,Archery,Women's Individual,Athlete,Female,FALLAH Mobina,25,1,0
25-30,26-Jun-97,1536648,Singapore,Singapore,SGP,Badminton,Men's Singles,Athlete,Male,LOH Kean Yew,27,0,1
25-30,06-Jul-95,1536649,Singapore,Singapore,SGP,Badminton,Mixed Doubles,Athlete,Male,HEE Yong Kai Terry,29,0,1
31-35,16-Jul-93,1536650,Singapore,Singapore,SGP,Badminton,Mixed Doubles,Athlete,Female,TAN Wei Han Jessica,31,1,0
25-30,01-Feb-99,1536651,Singapore,Singapore,SGP,Badminton,Women's Singles,Athlete,Female,YEO Jia Min,25,1,0
18-24,21-Sep-02,1536669,IR Iran,IR Iran,IRI,Cycling Road,Men's Road Race,Athlete,Male,LABIB Ali,22,0,1
31-35,03-Jan-93,1536683,IR Iran,IR Iran,IRI,Athletics,Women's 100m,Athlete,Female,FASIHI Farzaneh,31,1,0
31-35,04-May-93,1536701,IR Iran,IR Iran,IRI,Athletics,Men's 100m,Athlete,Male,TAFTIAN Hassan,31,0,1
25-30,26-Jul-99,1536721,India,India,IND,Rowing,Men's Single Sculls,Athlete,Male,PANWAR Balraj,25,0,1
31-35,02-Feb-92,1536885,Jamaica,Jamaica,JAM,Athletics,Women's Triple Jump,Athlete,Female,RICKETTS Shanieka,32,1,0
18-24,16-May-02,1536925,St Kitts and Nevis,St Kitts and Nevis,SKN,Athletics,Men's 100m,Athlete,Male,HARRIS Naquille,22,0,1
25-30,22-Mar-99,1536961,IR Iran,IR Iran,IRI,Weightlifting,Men's +102kg,Athlete,Male,DAVOUDI Ali,25,0,1
18-24,22-Jun-00,1536971,IR Iran,IR Iran,IRI,Weightlifting,Men's 89kg,Athlete,Male,JAVADI ALIABADI Mir Mostafa,24,0,1
18-24,13-May-02,1536983,Ethiopia,Ethiopia,ETH,Athletics,Women's 1500m,Athlete,Female,WELTEJI Diribe,22,1,0
18-24,06-Jan-06,1536990,Ethiopia,Ethiopia,ETH,Athletics,Women's 1500m,Athlete,Female,HAYLOM Birke,18,1,0
18-24,12-Feb-01,1536992,Ethiopia,Ethiopia,ETH,Athletics,Women's 5000m,Alternate Athlete,Female,HAILU Freweyni,23,1,0
31-35,04-Mar-93,1536996,IR Iran,IR Iran,IRI,Canoe Sprint,Men's Kayak Single 1000m,Athlete,Male,AGHAMIRZAEIJENAGHARD Ali,31,0,1
18-24,18-Jun-00,1536997,Congo,Congo,CGO,Swimming,Men's 50m Freestyle,Athlete,Male,MAYALA Freddy,24,0,1
18-24,28-Feb-01,1536998,Ethiopia,Ethiopia,ETH,Athletics,"Men's 10,000m",Athlete,Male,AREGAWI Berihu,23,0,1
25-30,01-Aug-97,1536999,Ethiopia,Ethiopia,ETH,Athletics,"Men's 10,000m",Athlete,Male,KEJELCHA Yomif,27,0,1
25-30,11-May-94,1537001,Ethiopia,Ethiopia,ETH,Athletics,Men's 5000m,Athlete,Male,GEBRHIWET Hagos,30,0,1
25-30,08-Dec-99,1537002,Congo,Congo,CGO,Swimming,Women's 50m Freestyle,Athlete,Female,BOBIMBO Vanessa,25,1,0
31-35,15-Aug-93,1537010,Congo,Congo,CGO,Athletics,Women's 100m,Athlete,Female,NGOYE Natacha,31,1,0
25-30,08-Aug-94,1537012,India,India,IND,Weightlifting,Women's 49kg,Athlete,Female,SAIKHOM Mirabai Chanu,30,1,0
18-24,20-Jan-00,1537049,Ethiopia,Ethiopia,ETH,Athletics,"Men's 10,000m",Athlete,Male,BAREGA Selemon,24,0,1
