Birth Date (Medallists.Csv),Code (Medallists.Csv),Country (Medallists.Csv),Country Code (Medallists.Csv),Discipline,Event,Gender (Medallists.Csv),Medal Code,Medal Date,Medal Type,Name (Medallists.Csv),Number of Female Medallists,Number of Male Medallists
25-Jan-00,1903136,Belgium,BEL,Cycling Road,Men's Individual Time Trial,Male,1,,Gold ,EVENEPOEL Remco,0,1
25-Jul-96,1923520,Italy,ITA,Cycling Road,Men's Individual Time Trial,Male,2,,Silver ,GANNA Filippo,0,1
15-Sep-94,1903147,Belgium,BEL,Cycling Road,Men's Individual Time Trial,Male,3,,Bronze ,van AERT Wout,0,1
07-Jul-92,1940173,Australia,AUS,Cycling Road,Women's Individual Time Trial,Female,1,,Gold ,BROWN Grace,1,0
14-Nov-98,1912525,Great Britain,GBR,Cycling Road,Women's Individual Time Trial,Female,2,,Silver ,HENDERSON Anna,1,0
01-Jan-97,1955079,United States,USA,Cycling Road,Women's Individual Time Trial,Female,3,,Bronze ,DYGERT Chloe,1,0
30-Sep-96,1927149,Korea,KOR,Fencing,Men's Sabre Individual,Male,1,,Gold ,OH Sanguk,0,1
22-Jul-97,1937783,Tunisia,TUN,Fencing,Men's Sabre Individual,Male,2,,Silver ,FERJANI Fares,0,1
25-Jul-87,1924595,Italy,ITA,Fencing,Men's Sabre Individual,Male,3,,Bronze ,SAMELE Luigi,0,1
08-Feb-94,1963262,"Hong Kong, China",HKG,Fencing,Women's Épée Individual,Female,1,,Gold ,KONG Man Wai Vivian,1,0
11-Oct-93,1916183,France,FRA,Fencing,Women's Épée Individual,Female,2,,Silver ,MALLO-BRETON Auriane,1,0
30-Sep-02,1946375,Hungary,HUN,Fencing,Women's Épée Individual,Female,3,,Bronze ,MUHARI Eszter,1,0
09-Sep-92,1935408,Kazakhstan,KAZ,Judo,Men -60 kg,Male,1,,Gold ,SMETOV Yeldos,0,1
05-Jan-96,1891304,France,FRA,Judo,Men -60 kg,Male,2,,Silver ,MKHEIDZE Luka,0,1
15-Apr-96,1896752,Japan,JPN,Judo,Men -60 kg,Male,3,,Bronze ,NAGAYAMA Ryuju,0,1
09-Dec-94,1563544,Spain,ESP,Judo,Men -60 kg,Male,3,,Bronze ,GARRIGOS Francisco,0,1
06-Aug-92,1896735,Japan,JPN,Judo,Women -48 kg,Female,1,,Gold ,TSUNODA Natsumi,1,0
26-Nov-99,1914467,Mongolia,MGL,Judo,Women -48 kg,Female,2,,Silver ,BAVUUDORJ Baasankhuu,1,0
24-Jan-99,1891280,France,FRA,Judo,Women -48 kg,Female,3,,Bronze ,BOUKLI Shirine,1,0
03-Jan-06,1571911,Sweden,SWE,Judo,Women -48 kg,Female,3,,Bronze ,BABULFATH Tara,1,0
27-Dec-01,1907192,Germany,GER,Swimming,Men's 400m Freestyle,Male,1,,Gold ,MAERTENS Lukas,0,1
05-May-00,1946172,Australia,AUS,Swimming,Men's 400m Freestyle,Male,2,,Silver ,WINNINGTON Elijah,0,1
24-Aug-01,4654306,Korea,KOR,Swimming,Men's 400m Freestyle,Male,3,,Bronze ,KIM Woomin,0,1
07-Sep-00,1946150,Australia,AUS,Swimming,Women's 400m Freestyle,Female,1,,Gold ,TITMUS Ariarne,1,0
18-Aug-06,1967140,Canada,CAN,Swimming,Women's 400m Freestyle,Female,2,,Silver ,McINTOSH Summer,1,0
17-Mar-97,1935938,United States,USA,Swimming,Women's 400m Freestyle,Female,3,,Bronze ,LEDECKY Katie,1,0
11-Jun-94,1940205,Australia,AUS,Canoe Slalom,Women's Kayak Single,Female,1,,Gold ,FOX Jessica,1,0
18-Dec-98,1942126,Poland,POL,Canoe Slalom,Women's Kayak Single,Female,2,,Silver ,ZWOLINSKA Klaudia,1,0
08-Sep-95,1896045,Great Britain,GBR,Canoe Slalom,Women's Kayak Single,Female,3,,Bronze ,WOODS Kimberley,1,0
10-Feb-92,1895672,France,FRA,Cycling Mountain Bike,Women's Cross-country,Female,1,,Gold ,FERRAND PREVOT Pauline,1,0
19-Sep-98,1955070,United States,USA,Cycling Mountain Bike,Women's Cross-country,Female,2,,Silver ,BATTEN Haley,1,0
06-Jun-94,1564023,Sweden,SWE,Cycling Mountain Bike,Women's Cross-country,Female,3,,Bronze ,RISSVEDS Jenny,1,0
19-Dec-97,1896548,Japan,JPN,Fencing,Men's Épée Individual,Male,1,,Gold ,KANO Koki,0,1
05-Nov-88,1916194,France,FRA,Fencing,Men's Épée Individual,Male,2,,Silver ,BOREL Yannick,0,1
03-Mar-03,1936462,Egypt,EGY,Fencing,Men's Épée Individual,Male,3,,Bronze ,ELSAYED Mohamed,0,1
15-Jun-94,1950611,United States,USA,Fencing,Women's Foil Individual,Female,1,,Gold ,KIEFER Lee,1,0
27-Jan-03,1950643,United States,USA,Fencing,Women's Foil Individual,Female,2,,Silver ,SCRUGGS Lauren,1,0
14-Jan-95,1973213,Canada,CAN,Fencing,Women's Foil Individual,Female,3,,Bronze ,HARVEY Eleanor,1,0
09-Aug-97,1896763,Japan,JPN,Judo,Men -66 kg,Male,1,,Gold ,ABE Hifumi,0,1
31-Jan-00,1953840,Brazil,BRA,Judo,Men -66 kg,Male,2,,Silver ,LIMA Willian,0,1
28-Sep-92,1935410,Kazakhstan,KAZ,Judo,Men -66 kg,Male,3,,Bronze ,KYRGYZBAYEV Gusman,0,1
10-Mar-96,1561138,Republic of Moldova,MDA,Judo,Men -66 kg,Male,3,,Bronze ,VIERU Denis,0,1
13-Jul-98,1566997,Uzbekistan,UZB,Judo,Women -52 kg,Female,1,,Gold ,KELDIYOROVA Diyora,1,0
10-Dec-95,1550162,Kosovo,KOS,Judo,Women -52 kg,Female,2,,Silver ,KRASNIQI Distria,1,0
01-Mar-99,1953817,Brazil,BRA,Judo,Women -52 kg,Female,3,,Bronze ,PIMENTA Larissa,1,0
12-Jul-95,1891283,France,FRA,Judo,Women -52 kg,Female,3,,Bronze ,BUCHARD Amandine,1,0
12-Jun-00,1913907,China,CHN,Shooting,10m Air Pistol Men,Male,1,,Gold ,XIE Yu,0,1
28-Mar-01,1551388,Italy,ITA,Shooting,10m Air Pistol Men,Male,2,,Silver ,MALDINI Federico Nilo,0,1
19-Apr-98,1551387,Italy,ITA,Shooting,10m Air Pistol Men,Male,3,,Bronze ,MONNA Paolo,0,1
10-May-05,1893972,Korea,KOR,Shooting,10m Air Pistol Women,Female,1,,Gold ,OH Ye Jin,1,0
04-Sep-92,1893930,Korea,KOR,Shooting,10m Air Pistol Women,Female,2,,Silver ,KIM Yeji,1,0
18-Feb-02,1538159,India,IND,Shooting,10m Air Pistol Women,Female,3,,Bronze ,BHAKER Manu,1,0
22-Sep-09,1902055,Japan,JPN,Skateboarding,Women's Street,Female,1,,Gold ,YOSHIZAWA Coco,1,0
08-Jan-09,1902069,Japan,JPN,Skateboarding,Women's Street,Female,2,,Silver ,AKAMA Liz,1,0
04-Jan-08,1955689,Brazil,BRA,Skateboarding,Women's Street,Female,3,,Bronze ,LEAL Rayssa,1,0
01-Aug-99,1925633,Italy,ITA,Swimming,Men's 100m Breaststroke,Male,1,,Gold ,MARTINENGHI Nicolo,0,1
28-Dec-94,1956469,Great Britain,GBR,Swimming,Men's 100m Breaststroke,Male,2,,Silver ,PEATY Adam,0,1
03-Jul-93,1935901,United States,USA,Swimming,Men's 100m Breaststroke,Male,2,,Silver ,FINK Nic,0,1
17-May-02,1909294,France,FRA,Swimming,Men's 400m Individual Medley,Male,1,,Gold ,MARCHAND Leon,0,1
01-Aug-05,1963635,Japan,JPN,Swimming,Men's 400m Individual Medley,Male,2,,Silver ,MATSUSHITA Tomoyuki,0,1
26-Oct-01,1935903,United States,USA,Swimming,Men's 400m Individual Medley,Male,3,,Bronze ,FOSTER Carson,0,1
07-Dec-02,1935923,United States,USA,Swimming,Women's 100m Butterfly,Female,1,,Gold ,HUSKE Torri,1,0
29-Jan-03,1935998,United States,USA,Swimming,Women's 100m Butterfly,Female,2,,Silver ,WALSH Gretchen,1,0
19-Apr-98,1945125,China,CHN,Swimming,Women's 100m Butterfly,Female,3,,Bronze ,ZHANG Yufei,1,0
14-Mar-00,1880479,France,FRA,Canoe Slalom,Men's Canoe Single,Male,1,,Gold ,GESTIN Nicolas,0,1
17-Jul-92,1896030,Great Britain,GBR,Canoe Slalom,Men's Canoe Single,Male,2,,Silver ,BURGESS Adam,0,1
02-Nov-87,1961080,Slovakia,SVK,Canoe Slalom,Men's Canoe Single,Male,3,,Bronze ,BENUS Matej,0,1
30-Jul-99,1912546,Great Britain,GBR,Cycling Mountain Bike,Men's Cross-country,Male,1,,Gold ,PIDCOCK Thomas,0,1
26-Aug-94,1895687,France,FRA,Cycling Mountain Bike,Men's Cross-country,Male,2,,Silver ,KORETZKY Victor,0,1
15-Mar-96,1943604,South Africa,RSA,Cycling Mountain Bike,Men's Cross-country,Male,3,,Bronze ,HATHERLY Alan,0,1
31-Jul-82,1914921,Germany,GER,Equestrian,Eventing Individual,Male,1,,Gold ,JUNG Michael,0,1
22-Nov-81,1940438,Australia,AUS,Equestrian,Eventing Individual,Male,2,,Silver ,BURTON Christopher,0,1
31-Aug-89,1970898,Great Britain,GBR,Equestrian,Eventing Individual,Female,3,,Bronze ,COLLETT Laura,1,0
10-Jun-97,1963245,"Hong Kong, China",HKG,Fencing,Men's Foil Individual,Male,1,,Gold ,CHEUNG Ka Long,0,1
19-Sep-01,1924289,Italy,ITA,Fencing,Men's Foil Individual,Male,2,,Silver ,MACCHI Filippo,0,1
09-Oct-99,1950602,United States,USA,Fencing,Men's Foil Individual,Male,3,,Bronze ,ITKIN Nick,0,1
07-Feb-96,1916223,France,FRA,Fencing,Women's Sabre Individual,Female,1,,Gold ,APITHY-BRUNET Manon,1,0
03-Apr-95,1916222,France,FRA,Fencing,Women's Sabre Individual,Female,2,,Silver ,BALZER Sara,1,0
04-Sep-90,1897644,Ukraine,UKR,Fencing,Women's Sabre Individual,Female,3,,Bronze ,KHARLAN Olga,1,0
27-Jul-97,1972337,Azerbaijan,AZE,Judo,Men -73 kg,Male,1,,Gold ,HEYDAROV Hidayat,0,1
07-Jan-01,1891311,France,FRA,Judo,Men -73 kg,Male,2,,Silver ,GABA Joan-Benjamin,0,1
02-Jul-00,1563437,Republic of Moldova,MDA,Judo,Men -73 kg,Male,3,,Bronze ,OSMANOV Adil,0,1
24-Aug-91,1896740,Japan,JPN,Judo,Men -73 kg,Male,3,,Bronze ,HASHIMOTO Soichi,0,1
29-Oct-95,1955526,Canada,CAN,Judo,Women -57 kg,Female,1,,Gold ,DEGUCHI Christa,1,0
19-Dec-02,1928067,Korea,KOR,Judo,Women -57 kg,Female,2,,Silver ,HUH Mimi,1,0
10-Oct-98,1896733,Japan,JPN,Judo,Women -57 kg,Female,3,,Bronze ,FUNAKUBO Haruka,1,0
06-Jul-98,1891286,France,FRA,Judo,Women -57 kg,Female,3,,Bronze ,CYSIQUE Sarah Leonie,1,0
04-Dec-04,1913899,China,CHN,Shooting,10m Air Rifle Men,Male,1,,Gold ,SHENG Lihao,0,1
16-May-03,1572919,Sweden,SWE,Shooting,10m Air Rifle Men,Male,2,,Silver ,LINDGREN Victor,0,1
17-Jun-97,1888047,Croatia,CRO,Shooting,10m Air Rifle Men,Male,3,,Bronze ,MARICIC Miran,0,1
20-Sep-07,1893845,Korea,KOR,Shooting,10m Air Rifle Women,Female,1,,Gold ,BAN Hyojin,1,0
03-Sep-06,1913945,China,CHN,Shooting,10m Air Rifle Women,Female,2,,Silver ,HUANG Yuting,1,0
30-Oct-02,1976545,Switzerland,SUI,Shooting,10m Air Rifle Women,Female,3,,Bronze ,GOGNIAT Audrey,1,0
07-Jan-99,1902081,Japan,JPN,Skateboarding,Men's Street,Male,1,,Gold ,HORIGOME Yuto,0,1
21-Feb-01,1944226,United States,USA,Skateboarding,Men's Street,Male,2,,Silver ,EATON Jagger,0,1
30-Nov-94,1944232,United States,USA,Skateboarding,Men's Street,Male,3,,Bronze ,HUSTON Nyjah,0,1
27-Jan-01,1925635,Italy,ITA,Swimming,Men's 100m Backstroke,Male,1,,Gold ,CECCON Thomas,0,1
19-Aug-95,1945132,China,CHN,Swimming,Men's 100m Backstroke,Male,2,,Silver ,XU Jiayu,0,1
02-Jul-95,1935957,United States,USA,Swimming,Men's 100m Backstroke,Male,3,,Bronze ,MURPHY Ryan,0,1
15-Sep-04,1543549,Romania,ROU,Swimming,Men's 200m Freestyle,Male,1,,Gold ,POPOVICI David,0,1
17-Dec-02,1903617,Great Britain,GBR,Swimming,Men's 200m Freestyle,Male,2,,Silver ,RICHARDS Matthew,0,1
25-Jun-03,1935918,United States,USA,Swimming,Men's 200m Freestyle,Male,3,,Bronze ,HOBSON Luke,0,1
09-Jul-97,1962589,South Africa,RSA,Swimming,Women's 100m Breaststroke,Female,1,,Gold ,SMITH Tatjana,1,0
14-Mar-04,1945200,China,CHN,Swimming,Women's 100m Breaststroke,Female,2,,Silver ,TANG Qianting,1,0
21-Aug-00,1543304,Ireland,IRL,Swimming,Women's 100m Breaststroke,Female,3,,Bronze ,Mc SHARRY Mona,1,0
02-Apr-04,1946218,Australia,AUS,Swimming,Women's 200m Freestyle,Female,1,,Gold ,O'CALLAGHAN Mollie,1,0
07-Sep-00,1946150,Australia,AUS,Swimming,Women's 200m Freestyle,Female,2,,Silver ,TITMUS Ariarne,1,0
31-Oct-97,1925125,"Hong Kong, China",HKG,Swimming,Women's 200m Freestyle,Female,3,,Bronze ,HAUGHEY Siobhan Bernadette,1,0
18-Aug-06,1967140,Canada,CAN,Swimming,Women's 400m Individual Medley,Female,1,,Gold ,McINTOSH Summer,1,0
08-Jan-06,1935909,United States,USA,Swimming,Women's 400m Individual Medley,Female,2,,Silver ,GRIMES Katie,1,0
24-Dec-01,1936001,United States,USA,Swimming,Women's 400m Individual Medley,Female,3,,Bronze ,WEYANT Emma,1,0
14-Oct-93,1896765,Japan,JPN,Judo,Men -81 kg,Male,1,,Gold ,NAGASE Takanori,0,1
01-Dec-99,1546651,Georgia,GEO,Judo,Men -81 kg,Male,2,,Silver ,GRIGALASHVILI Tato,0,1
19-Jun-02,1928079,Korea,KOR,Judo,Men -81 kg,Male,3,,Bronze ,LEE Joonhwan,0,1
24-Mar-99,1570561,Tajikistan,TJK,Judo,Men -81 kg,Male,3,,Bronze ,MAKHMADBEKOV Somon,0,1
08-Jan-97,1980833,Slovenia,SLO,Judo,Women -63 kg,Female,1,,Gold ,LESKI Andreja,1,0
20-Feb-96,1537287,Mexico,MEX,Judo,Women -63 kg,Female,2,,Silver ,AWITI ALCARAZ Prisca,1,0
25-Oct-92,1891289,France,FRA,Judo,Women -63 kg,Female,3,,Bronze ,AGBEGNENOU Clarisse,1,0
28-Sep-00,1550167,Kosovo,KOS,Judo,Women -63 kg,Female,3,,Bronze ,FAZLIU Laura,1,0
16-Jun-96,1904430,Great Britain,GBR,Shooting,Trap Men,Male,1,,Gold ,HALES Nathan,0,1
23-Jan-97,1913928,China,CHN,Shooting,Trap Men,Male,2,,Silver ,QI Ying,0,1
18-Dec-82,1958970,Guatemala,GUA,Shooting,Trap Men,Male,3,,Bronze ,BROL CARDENAS Jean Pierre,0,1
14-Jul-01,1539969,Ireland,IRL,Swimming,Men's 800m Freestyle,Male,1,,Gold ,WIFFEN Daniel,0,1
06-Nov-99,1935902,United States,USA,Swimming,Men's 800m Freestyle,Male,2,,Silver ,FINKE Bobby,0,1
05-Sep-94,1925630,Italy,ITA,Swimming,Men's 800m Freestyle,Male,3,,Bronze ,PALTRINIERI Gregorio,0,1
12-Jul-01,1946198,Australia,AUS,Swimming,Women's 100m Backstroke,Female,1,,Gold ,McKEOWN Kaylee,1,0
09-Feb-02,1935984,United States,USA,Swimming,Women's 100m Backstroke,Female,2,,Silver ,SMITH Regan,1,0
28-Jan-01,1935873,United States,USA,Swimming,Women's 100m Backstroke,Female,3,,Bronze ,BERKOFF Katharine,1,0
31-Oct-03,1919480,Japan,JPN,Artistic Gymnastics,Men's All-Around,Male,1,,Gold ,OKA Shinnosuke,0,1
04-Mar-00,1918864,China,CHN,Artistic Gymnastics,Men's All-Around,Male,2,,Silver ,ZHANG Boheng,0,1
30-Jan-96,1918860,China,CHN,Artistic Gymnastics,Men's All-Around,Male,3,,Bronze ,XIAO Ruoteng,0,1
11-Jun-94,1940205,Australia,AUS,Canoe Slalom,Women's Canoe Single,Female,1,,Gold ,FOX Jessica,1,0
14-Sep-98,1913770,Germany,GER,Canoe Slalom,Women's Canoe Single,Female,2,,Silver ,LILIK Elena,1,0
26-Jan-04,1955132,United States,USA,Canoe Slalom,Women's Canoe Single,Female,3,,Bronze ,LEIBFARTH Evy,1,0
28-Mar-95,1916809,Argentina,ARG,Cycling BMX Freestyle,Men's Park,Male,1,,Gold ,TORRES GIL Jose,0,1
12-Jul-01,1912548,Great Britain,GBR,Cycling BMX Freestyle,Men's Park,Male,2,,Silver ,REILLY Kieran Darren David,0,1
13-May-98,1895685,France,FRA,Cycling BMX Freestyle,Men's Park,Male,3,,Bronze ,JEANJEAN Anthony,0,1
17-Oct-05,1920569,China,CHN,Cycling BMX Freestyle,Women's Park,Female,1,,Gold ,DENG Yawen,1,0
22-Jul-95,1955071,United States,USA,Cycling BMX Freestyle,Women's Park,Female,2,,Silver ,BENEGAS Perris,1,0
23-Sep-97,1940118,Australia,AUS,Cycling BMX Freestyle,Women's Park,Female,3,,Bronze ,DIEHM Natalya,1,0
26-Jul-00,1548817,Georgia,GEO,Judo,Men -90 kg,Male,1,,Gold ,BEKAURI Lasha,0,1
28-Aug-00,1896750,Japan,JPN,Judo,Men -90 kg,Male,2,,Silver ,MURAO Sanshiro,0,1
22-Jun-01,1891318,France,FRA,Judo,Men -90 kg,Male,3,,Bronze ,NGAYAP HAMBOU Maxime-Gael,0,1
05-Aug-96,1961318,Greece,GRE,Judo,Men -90 kg,Male,3,,Bronze ,TSELIDIS Theodoros,0,1
03-Dec-94,1898499,Croatia,CRO,Judo,Women -70 kg,Female,1,,Gold ,MATIC Barbara,1,0
08-May-94,1563082,Germany,GER,Judo,Women -70 kg,Female,2,,Silver ,BUTKEREIT Miriam,1,0
15-Jul-97,1566421,Austria,AUT,Judo,Women -70 kg,Female,3,,Bronze ,POLLERES Michaela,1,0
01-Jul-97,1903248,Belgium,BEL,Judo,Women -70 kg,Female,3,,Bronze ,WILLEMS Gabriella,1,0
26-Jun-95,1958899,Guatemala,GUA,Shooting,Trap Women,Female,1,,Gold ,RUANO OLIVA Adriana,1,0
06-Jan-93,1915317,Italy,ITA,Shooting,Trap Women,Female,2,,Silver ,STANCO Silvana Maria,1,0
21-Apr-95,1967454,Australia,AUS,Shooting,Trap Women,Female,3,,Bronze ,SMITH Penny,1,0
04-Aug-04,1945148,China,CHN,Swimming,Men's 100m Freestyle,Male,1,,Gold ,PAN Zhanle,0,1
25-Jun-98,1946200,Australia,AUS,Swimming,Men's 100m Freestyle,Male,2,,Silver ,CHALMERS Kyle,0,1
15-Sep-04,1543549,Romania,ROU,Swimming,Men's 100m Freestyle,Male,3,,Bronze ,POPOVICI David,0,1
17-May-02,1909294,France,FRA,Swimming,Men's 200m Breaststroke,Male,1,,Gold ,MARCHAND Leon,0,1
04-Jan-99,1946185,Australia,AUS,Swimming,Men's 200m Breaststroke,Male,2,,Silver ,STUBBLETY-COOK Zac,0,1
03-Apr-01,1972545,Netherlands,NED,Swimming,Men's 200m Breaststroke,Male,3,,Bronze ,CORBEAU Caspar,0,1
17-May-02,1909294,France,FRA,Swimming,Men's 200m Butterfly,Male,1,,Gold ,MARCHAND Leon,0,1
20-Feb-00,1905860,Hungary,HUN,Swimming,Men's 200m Butterfly,Male,2,,Silver ,MILAK Kristof,0,1
07-Feb-05,1967058,Canada,CAN,Swimming,Men's 200m Butterfly,Male,3,,Bronze ,KHARUN Ilya,0,1
17-Aug-93,1572557,Sweden,SWE,Swimming,Women's 100m Freestyle,Female,1,,Gold ,SJOESTROEM Sarah,1,0
07-Dec-02,1935923,United States,USA,Swimming,Women's 100m Freestyle,Female,2,,Silver ,HUSKE Torri,1,0
31-Oct-97,1925125,"Hong Kong, China",HKG,Swimming,Women's 100m Freestyle,Female,3,,Bronze ,HAUGHEY Siobhan Bernadette,1,0
17-Mar-97,1935938,United States,USA,Swimming,Women's 1500m Freestyle,Female,1,,Gold ,LEDECKY Katie,1,0
24-Jun-00,1909209,France,FRA,Swimming,Women's 1500m Freestyle,Female,2,,Silver ,KIRPICHNIKOVA Anastasiia,1,0
09-May-02,1907171,Germany,GER,Swimming,Women's 1500m Freestyle,Female,3,,Bronze ,GOSE Isabel,1,0
18-Feb-98,1904251,Great Britain,GBR,Triathlon,Men's Individual,Male,1,,Gold ,YEE Alex,0,1
01-Sep-97,1926549,New Zealand,NZL,Triathlon,Men's Individual,Male,2,,Silver ,WILDE Hayden,0,1
28-Jun-96,1543967,France,FRA,Triathlon,Men's Individual,Male,3,,Bronze ,BERGERE Leo,0,1
23-May-97,1543963,France,FRA,Triathlon,Women's Individual,Female,1,,Gold ,BEAUGRAND Cassandre,1,0
10-Sep-96,1976489,Switzerland,SUI,Triathlon,Women's Individual,Female,2,,Silver ,DERRON Julie,1,0
27-Dec-91,1904244,Great Britain,GBR,Triathlon,Women's Individual,Female,3,,Bronze ,POTTER Beth,1,0
14-Mar-97,1959861,United States,USA,Artistic Gymnastics,Women's All-Around,Female,1,,Gold ,BILES Simone,1,0
08-May-99,1953634,Brazil,BRA,Artistic Gymnastics,Women's All-Around,Female,2,,Silver ,ANDRADE Rebeca,1,0
09-Mar-03,1959866,United States,USA,Artistic Gymnastics,Women's All-Around,Female,3,,Bronze ,LEE Sunisa,1,0
29-Jul-95,1929767,Ecuador,ECU,Athletics,Men's 20km Race Walk,Male,1,,Gold ,PINTADO Brian Daniel,0,1
19-Mar-91,1951928,Brazil,BRA,Athletics,Men's 20km Race Walk,Male,2,,Silver ,BONFIM Caio,0,1
18-Jun-94,1904165,Spain,ESP,Athletics,Men's 20km Race Walk,Male,3,,Bronze ,MARTIN Alvaro,0,1
18-Feb-96,1919002,China,CHN,Athletics,Women's 20km Race Walk,Female,1,,Gold ,YANG Jiayu,1,0
29-Apr-96,1905369,Spain,ESP,Athletics,Women's 20km Race Walk,Female,2,,Silver ,PEREZ Maria,1,0
15-Feb-98,1939791,Australia,AUS,Athletics,Women's 20km Race Walk,Female,3,,Bronze ,MONTAG Jemima,1,0
21-Jul-92,1550975,Italy,ITA,Canoe Slalom,Men's Kayak Single,Male,1,,Gold ,de GENNARO Giovanni,0,1
28-Aug-04,1880464,France,FRA,Canoe Slalom,Men's Kayak Single,Male,2,,Silver ,CASTRYCK Titouan,0,1
29-May-01,1953935,Spain,ESP,Canoe Slalom,Men's Kayak Single,Male,3,,Bronze ,ECHANIZ Pau,0,1
09-Aug-98,1972367,Azerbaijan,AZE,Judo,Men -100 kg,Male,1,,Gold ,KOTSOIEV Zelym,0,1
18-Jun-01,1552370,Georgia,GEO,Judo,Men -100 kg,Male,2,,Silver ,SULAMANIDZE Ilia,0,1
04-Jan-92,1892957,Israel,ISR,Judo,Men -100 kg,Male,3,,Bronze ,PALTCHIK Peter,0,1
05-Apr-00,1565754,Uzbekistan,UZB,Judo,Men -100 kg,Male,3,,Bronze ,TUROBOYEV Muzaffarbek,0,1
20-Nov-98,1925349,Italy,ITA,Judo,Women -78 kg,Female,1,,Gold ,BELLANDI Alice,1,0
03-Apr-00,1892794,Israel,ISR,Judo,Women -78 kg,Female,2,,Silver ,LANIR Inbar,1,0
24-Apr-98,1891067,China,CHN,Judo,Women -78 kg,Female,3,,Bronze ,MA Zhenzhao,1,0
30-Jun-99,1943504,Portugal,POR,Judo,Women -78 kg,Female,3,,Bronze ,SAMPAIO Patricia,1,0
12-Apr-97,1913922,China,CHN,Shooting,50m Rifle 3 Positions Men,Male,1,,Gold ,LIU Yukun,0,1
17-Apr-93,1555976,Ukraine,UKR,Shooting,50m Rifle 3 Positions Men,Male,2,,Silver ,KULISH Serhiy,0,1
06-Aug-95,1538084,India,IND,Shooting,50m Rifle 3 Positions Men,Male,3,,Bronze ,KUSALE Swapnil,0,1
28-Mar-03,1904977,Hungary,HUN,Swimming,Men's 200m Backstroke,Male,1,,Gold ,KOS Hubert,0,1
01-Nov-96,1954557,Greece,GRE,Swimming,Men's 200m Backstroke,Male,2,,Silver ,CHRISTOU Apostolos,0,1
30-Jul-00,1977754,Switzerland,SUI,Swimming,Men's 200m Backstroke,Male,3,,Bronze ,MITYUKOV Roman,0,1
17-Nov-01,1935895,United States,USA,Swimming,Women's 200m Breaststroke,Female,1,,Gold ,DOUGLASS Kate,1,0
09-Jul-97,1962589,South Africa,RSA,Swimming,Women's 200m Breaststroke,Female,2,,Silver ,SMITH Tatjana,1,0
31-Dec-00,1972525,Netherlands,NED,Swimming,Women's 200m Breaststroke,Female,3,,Bronze ,SCHOUTEN Tes,1,0
18-Aug-06,1967140,Canada,CAN,Swimming,Women's 200m Butterfly,Female,1,,Gold ,McINTOSH Summer,1,0
09-Feb-02,1935984,United States,USA,Swimming,Women's 200m Butterfly,Female,2,,Silver ,SMITH Regan,1,0
19-Apr-98,1945125,China,CHN,Swimming,Women's 200m Butterfly,Female,3,,Bronze ,ZHANG Yufei,1,0
12-Sep-96,1970827,Uganda,UGA,Athletics,"Men's 10,000m",Male,1,,Gold ,CHEPTEGEI Joshua,0,1
28-Feb-01,1536998,Ethiopia,ETH,Athletics,"Men's 10,000m",Male,2,,Silver ,AREGAWI Berihu,0,1
22-Apr-97,1960959,United States,USA,Athletics,"Men's 10,000m",Male,3,,Bronze ,FISHER Grant,0,1
12-Feb-91,1895661,France,FRA,Cycling BMX Racing,Men,Male,1,,Gold ,DAUDET Joris,0,1
14-Oct-92,1895640,France,FRA,Cycling BMX Racing,Men,Male,2,,Silver ,ANDRE Sylvain,0,1
17-Feb-95,1895700,France,FRA,Cycling BMX Racing,Men,Male,3,,Bronze ,MAHIEU Romain,0,1
23-Aug-99,1940127,Australia,AUS,Cycling BMX Racing,Women,Female,1,,Gold ,SAKAKIBARA Saya,1,0
06-Jul-98,1969181,Netherlands,NED,Cycling BMX Racing,Women,Female,2,,Silver ,VEENSTRA Manon,1,0
28-Apr-01,1976480,Switzerland,SUI,Cycling BMX Racing,Women,Female,3,,Bronze ,CLAESSENS Zoe,1,0
07-Apr-89,1891323,France,FRA,Judo,Men +100 kg,Male,1,,Gold ,RINER Teddy,0,1
01-Sep-00,1928072,Korea,KOR,Judo,Men +100 kg,Male,2,,Silver ,KIM Minjong,0,1
08-Jul-97,1567512,Tajikistan,TJK,Judo,Men +100 kg,Male,3,,Bronze ,RAKHIMOV Temur,0,1
27-Nov-98,1566931,Uzbekistan,UZB,Judo,Men +100 kg,Male,3,,Bronze ,YUSUPOV Alisher,0,1
20-May-98,1953777,Brazil,BRA,Judo,Women +78 kg,Female,1,,Gold ,SOUZA Beatriz,1,0
19-Jun-98,1892796,Israel,ISR,Judo,Women +78 kg,Female,2,,Silver ,HERSHKO Raz,1,0
07-Jan-00,1928070,Korea,KOR,Judo,Women +78 kg,Female,3,,Bronze ,KIM Hayun,1,0
30-Sep-99,1891300,France,FRA,Judo,Women +78 kg,Female,3,,Bronze ,DICKO Romane,1,0
15-Jun-98,1977709,Switzerland,SUI,Shooting,50m Rifle 3 Positions Women,Female,1,,Gold ,LEONE Chiara,1,0
16-Aug-93,1944373,United States,USA,Shooting,50m Rifle 3 Positions Women,Female,2,,Silver ,MADDALENA Sagen,1,0
12-Mar-04,1913972,China,CHN,Shooting,50m Rifle 3 Positions Women,Female,3,,Bronze ,ZHANG Qiongyue,1,0
17-May-02,1909294,France,FRA,Swimming,Men's 200m Individual Medley,Male,1,,Gold ,MARCHAND Leon,0,1
